asset,owner
25TjpjTnL1rmducnqxHhH7JALRXfFfMxKYj7seQmMBYx,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8
25XMxrtGSdff2YBnaH6qXkv5XyHjH8Zxufv4tPSwAunU,autfyCR5psTc85smVAcGQajFT4TC8xxPPH1wvJu2Grr
25ebYKYYd8VEA5nQy6kYuzrETST8DKqub47dtXhqY4NB,6LnH18SQsNqVN9BY76zCsNP8ur5XVQtKgb2t2iq9aZfs
25ffBqDZMjD6RJu4zKgG6MJauaExCb2WNTwwMiL3SFRK,2eWkTF8tSBp2si8Z7LDgkswJZ1LNGi7DPU3NNjV1i3VJ
25rfvRKnCqRAYEV5UuihHmxf8FspbGX3Me5iyCQ7SNG1,CiTqH3c4L7a6ywi6ndofkFechzujFD5mBdQ4WQdQcAPQ
269qSsSogXb2AyMfy6a3TTPqmNnboAyvSM3RKoNFzr4X,DnkxUHYP9TTqNkEEjsz35VvZ3FfUg9tLEVicdBjmRMxk
26Bh9JcyZJ5hdN26zg6vHDbq6j5DqcveHMLPmnzXEHkp,2VQA3FT8tWRPgiwVPh2oKm1JTA44ocGspKn8yRZRvXiS
26LXR44kvcuE93HPaxm7PSZMAgrDgBucm71gobSEdtF9,9pRyBoTvsekUV3ycQmSJtqULrYb2Dv8HFcSdLWNpzGdj
26TexDMVk7UEHdUobo2viRrZazUKPEDmjPxvYwqxoUh4,25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU
26bLEGxQzek4kh43qb9PyhgooUMFCxxWwUykFCxWUten,9nScv4VoS83xpwdb9weUonj5UDLV3eVbxxL8bxAEJ8Gy
26o27jJsEmnjN5WHQubPbvhX2YAd6uSjnHz5wTCE3UjE,B9QigYSu4BLYa1gq57Bdr3QQgDs1CJ2qCd4GxU8XorJG
26vr77AMycmabbYK9UU54wqm6iVsbQz2Cgm9WKKLGBzF,5rTRUS8J94T4d4Y5yW9nPvT9oqJJNBrNmbRV7qC3dSci
26wsSiaJ4kCvsZhwe5fDs5XwkD7DRmY4CWstp1oXiUuX,GPg1UBnaqBjZS2XiMfEpgWn5YBJmNkVd11HXjYrDmVsr
274NpGN9sPBoqfAZQXbKVrrLEk5e99Nrquf2cUtmDgMv,9jSvPtLm5Nt4bMNFwtZmwVHdZEhdx94XW96SRELFS5Td
277MeyAUzjMSynAkxUykoNVHDeZo8k8ocWGFttUkzcZC,25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU
279WXCJ5XF7KxnBQVoo2LYucQaqi3xLc4NRcyByPZv3D,J6LNq8SPcrRUj8yMT5KSL5cBq81qfThpYTWUTPmM2K9M
27CuPyVaf9vmLmXuehfps9X5q694up3gXQdkWwtVMnKc,Hg2gqbjGgL8NZDmJk6jfqskafuK2pPqccSq5FqamaTX2
27HdxUCMZx9JF2iyg9YXsUUVVXsHphFMC9g4Sk56KPti,7qiAQaPksBGbGrEz77Yr9W2BcZX3PQXpzP5vSN9FGcGa
27KtotDsT6gTqEFRwm5JMQzxLiPW6nQcJqeb27TR22kG,9bzAn2H5GN42NcmQPVfVeXqnDhAvKp1YN8xcQzvhhqpy
27R3YJw9TU48mTQsu41rJvYSABXHAxBfsofZ1bG56LAh,8bkLyDx5PgyxNYmRmSwy1qBnWzcWcXFg3xveRAbjgc96
27fXRPatLDxB4NuL1b5VCjdhRLsonvitHA5hBgUtwf4n,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx
27gFoS78z3KEQ3rBSp2BowibgK8mJYWjkMUks6J5aPHx,9bnE9QnGghTKTJhzgpfKpMf6Gyjoo5ctQBi2CUHffe4h
27h1tRsUcb6trQzeLJrKCxJwyEkzr3NP5rbkQGMyffmU,8gsweCbTFCpuTeZF5vjsUT7jKXiyFwXm6eJuVUeSzLwL
287JLRPzCiQtPvtNAyHJBD6oGxNhr4uuXXbNKyhhBbgp,6X1GSPbn65EvohHwU1jYUcXzc3k5u277xtyhrUGJep5v
28Li8C4X8oTYbU1gzZU3vwp6E6ENyNfoqGMupANUpody,7ajKJAWsGDDr7e8sX8D1YPuLSfySY98uShpTCWNKBSkf
28PHENzEbuScK4yUTrw6sArSq6SnvY7WzEMdHkNftYXK,ABpA7SJJURVo4g3U7cVLA17JLT7NHn1R8Q7RmMKcApEF
28S8Cx1jU9NCKnrfbfEvLFxMGKXAikQCct7CMnXfACfN,DnkxUHYP9TTqNkEEjsz35VvZ3FfUg9tLEVicdBjmRMxk
28URRPYXNBa5bnM8MyJHbVKR6HWAWkyRPEzVbwJXpBLh,2NatxmGTQLfp2msN1KuXXBdpatyfdjNmDABF3CCQJYBB
28qfWWCnX8XdH2M3KbzhcnZ94Fzg8vFyid9sDXUwNZ5q,D5NVo4BcTXhs5cTmvUruNsiKcd698c12iphy5MpSGFv9
28vrk8VFueBo6ZLUzKUaQcojMhUBEH5WPf5aHTPFBqVC,2eWkTF8tSBp2si8Z7LDgkswJZ1LNGi7DPU3NNjV1i3VJ
292h3xJKaZU6mBrPhsR6FFzbvBAeA1zdMcJnj52Nfn3f,7ZVqu1Q3ztifNMT73QXxTAbHXHYxrnLLmpG9ZNwVJsJp
295d8QoPiYFZt5F1rd3tBeJoQkCsaKwNdemEXDUVoLwn,C8oQdPfg7wEHdeDpAxvsGdh7Af5bhzVKKU2mMTZjasU
29H6825nrQMzYapRgyyipgwtCg6ownrbH1iapDmL5kKu,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW
29Q3omoLAbruj22v1tFwZKqxwrJ1HTPMifpPRewfmaz1,autfyCR5psTc85smVAcGQajFT4TC8xxPPH1wvJu2Grr
29jt9RZW3Ypf41exYE9i48NH53X8L9HkiBdiwUPfV5Nh,HJV6umojHL2YuEMcX3ZJLeSzrBTcyCVFA39kYo5eWpcp
29kxN4sDjcK7jeK3WTwz7B9ZqpAG4v7XDJZqN9NCWcsy,8VcHiYLd6V5fMFZzPF5zoc1gztiav4apEQvFSzHNbYm5
2Ac9Ts9UFZ8cFJrj5k13VebDNmx54rzNMieJrb5XGzNN,DeoqkvdS1LG73sdB5zcmYfcmDpvHsDhNKTzhg4VvetM2
2Akm2TnN5YnTbPckxtv6PQevYL1LhQn2DTS6DEeR3vu9,3U1kmVZknXX1Y6x6Yk4Mii3a5EL6iUbbw5x32M1z3P5q
2Asa43B9tccXRDwCkwi2gNYTBVcYg9TMuA3VSr3mcvXD,GL2QccW2K59m4KJgkrbr66gk1hUB6Mwir2S6MAEeDW1K
2B2nnFQt6QEFnyw51XE9c17n8xeHDiUbyzCeWqWhpVGK,FbxiLEnXbE5vhDTyJT1kvfDuFLAp7cZdynEzHEaCEd2k
2B63svR9bnPs3hnbtKxBsdE9Q4TKbGGToq25vdnL8eFY,D8iwNWsfRkg6oNy7AyTevRxNPGUKZZ2oixoqLiinSSor
2B87SSQxaENgWV22fapFXnbEhQugFCfrFoMmmsxiYX9E,GTafsVj8dBYLGUhFYfEKtGsfBbVJy97cUkCHXc5Yg7XT
2BN2mrbKm98aFX4brwm6nZbRc8XBFCerUD1m7XDWDMcM,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW
2BU7Ly1aVujCL2MhrNwJNrB7YrrZ9tCVnjmsPXViavaZ,BJaktyCTyvDQRHmjie3LqrLjuwF6gnsrjgYieP6tCte9
2BXn2BsXvQtQsYfDxWzZjNBA9cJqMschwV4zhKHPXsjm,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx
2BY1ZaDbTrsUokv7qeUS5qWRnBowiYZEfVSJonSDVnaY,7DnqWV1732auGkzfKgNxzcEHJfapX2GbwZ1w3aqoAN4z
2BepqPWqsxua85pMzxtKt2jScknWoG15kJfe2GzXjgLB,92fjfF71dbpoPx3rKfnD3NSjKLCTuRASNG6Kz8eRBv7h
2BgBn2wjmL6CDpsstbbLKRUBZPBhci4Wk5i9zJrk2ifZ,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM
2C8Wo8vpdRFXtRZdQQA7H1YodedNVXD381zy3NZFnLi7,62XRtwPKPGstrXiKs9PwAPpLPDtYWbCDDUo2gkqvEYYU
2CSNg5ruvGFTGF7BBvhz2pdJx2qJVy4PBxLVyVh8U5vz,2UCct9X15QXJ6QM1FbZQi5Ygbt7SAjN4DFV7ybc6zAfh
2CaJUb8NqCwWgSiXhcCdmsc7LQRW5zDn9ittjqPZYYJk,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM
2CtjTsBgZSiDbCRStP2YUoF4iudR4fKaqdQ9N3zgXrM6,69aS1fQCaEhXqBq8vHrCDwWzbecZ4Hh6xcr5NzvtsJHk
2CurEtcdmL3Vs3HAuahENtkQqaeszRiSAUzNBr6X8Xxp,2yEw5qTq4LXZ3m2L9KFH3BBLzUvVEadyF3p5PwhhVGCf
2D4Temkw5QT6mguDJcUPaduC2ijHyd4kgzedwddKqRv3,CASHaa4PzBAYiy9K1qszEHp4a2KSmNmCWboEYNXVatTr
2D6xJpLvgHeSYFLenxcbZivCzEqijMMXgFYkbS9mXpod,DKmQngAhJkDoW982UBaQnjb6jpG7XqM4UMwNJZTvFW8t
2DGXfp3hFGKTXhPFUp4pV9XVd2WPE9uqydNSmNVwNrS6,4yBTZgH6pjY2CYzc46oBNszB3zFg1F7wFHKFUQQXwt3d
2DHt8mUf1CsD6iSoS5bEuHuqwdLD3jkroUQszV79JExh,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW
2DNyVCre5SgWGjAsE5yjdereXFPc23BEuMUYCxQ8nNuR,Cgw7Vr8z9HVbAUzgmndFPTRo3vaLQhd3p7q5gSkVZCm6
